Gene name	Phenotype description
AAAS	Achalasia-Addisonianism-Alacrima syndrome
AAAS	Achalasia-Addisonianism-Alacrima syndrome
AAAS	Triple A syndrome
AAAS	Achalasia-Addisonianism-Alacrima syndrome
AAAS	Achalasia-Addisonianism-Alacrima syndrome
AAGAB	Punctate palmoplantar keratoderma type 1
AAGAB	PALMOPLANTAR KERATODERMA PUNCTATE TYPE IA
AARS1	Autosomal dominant Charcot-Marie-Tooth disease type 2N
AARS1	Non-specific early-onset epileptic encephalopathy
AARS1	Trichothiodystrophy
AARS1	CHARCOT-MARIE-TOOTH DISEASE AXONAL TYPE 2N
AARS1	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 29
AARS1	LEUKOENCEPHALOPATHY HEREDITARY DIFFUSE WITH SPHEROIDS 2
AARS1	TRICHOTHIODYSTROPHY 8 NONPHOTOSENSITIVE
AARS1	Early-Onset epileptic encephalopathy with persistent myelination defect.
AARS2	Combined oxidative phosphorylation defect type 8
AARS2	Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia
AARS2	OVARIOLEUKODYSTROPHY
AARS2	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 8
AARS2	LEUKOENCEPHALOPATHY PROGRESSIVE WITH OVARIAN FAILURE
ABCA4	Cone rod dystrophy
ABCA4	NON RARE IN EUROPE: Age-related macular degeneration
ABCA4	Retinitis pigmentosa
ABCA4	STARGARDT DISEASE
ABCA4	CONE-ROD DYSTROPHY 3
ABCA4	MACULAR DEGENERATION AGE-RELATED 2
ABCA4	RETINITIS PIGMENTOSA 19
ABCA4	STARGARDT DISEASE 1
ABCA4	Cone-rod dystrophy
ABCA7	Early-onset autosomal dominant Alzheimer disease
ABCA7	NON RARE IN EUROPE: Alzheimer disease
ABCA7	ALZHEIMER DISEASE 9 SUSCEPTIBILITY TO
ABCB11	CHOLESTASIS BENIGN RECURRENT INTRAHEPATIC 2
ABCB11	CHOLESTASIS PROGRESSIVE FAMILIAL INTRAHEPATIC 2
ABCB11	ABCB11-Related Intrahepatic Cholestasis
ABCB11	Benign recurrent intrahepatic cholestasis type 2
ABCB11	Intrahepatic cholestasis of pregnancy
ABCB11	Progressive familial intrahepatic cholestasis type 2
ABCB11	CHOLESTASIS BENIGN RECURRENT INTRAHEPATIC 2
ABCB11	CHOLESTASIS PROGRESSIVE FAMILIAL INTRAHEPATIC 2
ABCB11	ABCB11-Related Intrahepatic Cholestasis
ABCB4	Intrahepatic cholestasis of pregnancy
ABCB4	Low phospholipid associated cholelithiasis
ABCB4	Progressive familial intrahepatic cholestasis type 3
ABCB4	Cholestasis intrahepatic of pregnancy 3
ABCB4	CHOLESTASIS PROGRESSIVE FAMILIAL INTRAHEPATIC 3
ABCB4	GALLBLADDER DISEASE 1
ABCC8	Autosomal dominant hyperinsulinism due to SUR1 deficiency
ABCC8	Autosomal recessive hyperinsulinism due to SUR1 deficiency
ABCC8	DEND syndrome
ABCC8	Diazoxide-resistant focal hyperinsulinism due to SUR1 deficiency
ABCC8	Isolated permanent neonatal diabetes mellitus
ABCC8	MODY
ABCC8	Transient neonatal diabetes mellitus
ABCC8	DIABETES MELLITUS PERMANENT NEONATAL 3
ABCC8	DIABETES MELLITUS TRANSIENT NEONATAL 2
ABCC8	HYPERINSULINEMIC HYPOGLYCEMIA FAMILIAL 1
ABCC8	HYPOGLYCEMIA LEUCINE-INDUCED
ABCC8	TYPE 2 DIABETES MELLITUS
ABCG8	Homozygous familial hypercholesterolemia
ABCG8	SITOSTEROLEMIA
ABCG8	GALLBLADDER DISEASE 4
ABCG8	SITOSTEROLEMIA 1
ABCG8	SITOSTEROLEMIA
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ABHD16A	Autosomal recessive spastic paraplegia type 86
ABHD16A	Spastic paraplegia 86 autosomal recessive
ABHD16A	ABHD16A-associated spastic paraplegia intellectual disability and thin corpus callosum
ACAD9	Acyl-CoA dehydrogenase 9 deficiency
ACAD9	MITOCHONDRIAL COMPLEX I DEFICIENCY NUCLEAR TYPE 20
ACAD9	acyl-CoA dehydrogenase family member type 9 deficiency
ACAN	Familial osteochondritis dissecans
ACAN	Short stature-advanced bone age-early onset osteoarthritis syndrome
ACAN	SPONDYLOEPIMETAPHYSEAL DYSPLASIA AGGRECAN TYPE
ACAN	Spondyloepiphyseal dysplasia Kimberley type
ACAN	Short stature and advanced bone age with or without early-onset osteoarthritis and/or osteochondritis dissecans
ACAN	SPONDYLOEPIMETAPHYSEAL DYSPLASIA AGGRECAN TYPE
ACAN	Spondyloepiphyseal dysplasia Kimberley type
ACAN	SPONDYLOEPIMETAPHYSEAL DYSPLASIA AGGRECAN TYPE
ACAN	SPONDYLOEPIPHYSEAL DYSPLASIA TYPE KIMBERLEY
ACAT1	Beta-ketothiolase deficiency
ACAT1	ALPHA-METHYLACETOACETIC ACIDURIA
ACAT1	ALPHA-METHYLACETOACETIC ACIDURIA
ACBD5	RETINAL DYSTROPHY WITH LEUKODYSTROPHY
ACBD5	ACBD5 deficiency
ACO2	Autosomal recessive isolated optic atrophy
ACO2	Infantile cerebellar-retinal degeneration
ACO2	Infantile cerebellar-retinal degeneration
ACO2	OPTIC ATROPHY 9
ACO2	Infantile cerebellar-retinal degeneration
ACO2	OPTIC ATROPHY 9
ACOX1	MITCHELL SYNDROME
ACOX1	PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY
ACOX1	MITCHELL SYNDROME
ACOX1	PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY
ACOX1	ADRENOLEUKODYSTROPHY PSEUDONEONATAL
ACTA1	Childhood-onset nemaline myopathy
ACTA1	Congenital fiber-type disproportion myopathy
ACTA1	Congenital myopathy with excess of thin filaments
ACTA1	Intermediate nemaline myopathy
ACTA1	Progressive scapulohumeroperoneal distal myopathy
ACTA1	Rigid spine syndrome
ACTA1	Severe congenital nemaline myopathy
ACTA1	Typical nemaline myopathy
ACTA1	Zebra body myopathy
ACTA1	CONGENITAL MYOPATHY 2A TYPICAL AUTOSOMAL DOMINANT
ACTA1	Congenital myopathy 2b severe infantile autosomal recessive
ACTA1	Congenital myopathy 2c severe infantile autosomal dominant
ACTA1	MYOPATHY SCAPULOHUMEROPERONEAL
ACTA1	NEMALINE MYOPATHY 3
ACTB	Baraitser-Winter cerebrofrontofacial syndrome
ACTB	Becker nevus syndrome
ACTB	Developmental malformations-deafness-dystonia syndrome
ACTB	BARAITSER-WINTER SYNDROME 1
ACTB	DYSTONIA JUVENILE-ONSET
ACTB	ACTB Haploinsufficiency syndtome
ACTB	Baraitser-Winter syndrome
ACTB	BARAITSER-WINTER SYNDROME 1
ACTC1	Atrial septal defect ostium secundum type
ACTC1	Familial isolated dilated cardiomyopathy
ACTC1	Left ventricular noncompaction
ACTC1	NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy
ACTC1	ATRIAL SEPTAL DEFECT 5
ACTC1	CARDIOMYOPATHY DILATED 1R
ACTC1	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC 11
ACTC1	ACTC1-related HCM
ACTG1	Baraitser-Winter Syndrome 2
ACTG1	DEAFNESS AUTOSOMAL DOMINANT 20
ACTG1	Baraitser-Winter syndrome
ACTG1	Baraitser-Winter Syndrome 2
ACTG1	Isolated ocular coloboma
ACTG1	Baraitser-Winter cerebrofrontofacial syndrome
ACTG1	Coloboma of choroid and retina
ACTG1	Coloboma of iris
ACTG1	Rare autosomal dominant non-syndromic sensorineural deafness type DFNA
ACTG1	Baraitser-Winter Syndrome 2
ACTG1	DEAFNESS AUTOSOMAL DOMINANT 20
ACTG1	Baraitser-Winter syndrome
ACTG1	Baraitser-Winter Syndrome 2
ACTG1	Isolated ocular coloboma
ACTL6B	Non-specific early-onset epileptic encephalopathy
ACTL6B	Non-specific syndromic intellectual disability
ACTL6B	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76
ACTL6B	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS
ACTL6B	Epileptic encephalopathy early infantile
