Phenotype description	Gene name
	syt2a
brain apoptotic	rpgrb
brain hydrocephalic	rpgrb
cilium part_of Kupffer's vesicle decreased length	rpgrb
embryonic camera-type eye development disrupted	rpgrb
eye decreased size	rpgrb
head decreased size	rpgrb
pericardium edematous	rpgrb
photoreceptor outer segment part_of retinal rod cell absent	rpgrb
photoreceptor outer segment part_of retinal rod cell malformed	rpgrb
post-vent region bent	rpgrb
post-vent region decreased length	rpgrb
post-vent region increased curvature	rpgrb
retina layer formation disrupted	rpgrb
retina apoptotic	rpgrb
retinal cone cell absent	rpgrb
retinal rod cell development decreased process quality	rpgrb
	crfb16
	tor1
	fa2h
	crfb4
Rohon-Beard neuron displaced to ZFA:0000092	cdk5
cranial nerve II aplastic	cdk5
cyclin-dependent protein serine/threonine kinase activity decreased occurrence	cdk5
eye decreased size	cdk5
motor neuron part_of brain increased amount	cdk5
motor neuron part_of spinal cord increased amount	cdk5
pancreatic B cell part_of exocrine pancreas increased amount	cdk5
retina layer formation disrupted	cdk5
retina morphogenesis in camera-type eye disrupted	cdk5
retina morphology	cdk5
retinal ganglion cell layer morphology	cdk5
retinal inner nuclear layer morphology	cdk5
retinal outer nuclear layer morphology	cdk5
retinal outer plexiform layer morphology	cdk5
whole organism decreased size	cdk5
	prf1.2
	mief2
	tnnt2b
	setbp1
axon part_of motor neuron decreased length	chchd10
skeletal muscle myofibril part_of skeletal muscle disorganized	chchd10
skeletal muscle refractivity	chchd10
thigmotaxis disrupted	chchd10
angioblastic mesenchymal cell decreased amount	rpl5a
common myeloid progenitor decreased amount	rpl5a
definitive hemopoiesis disrupted	rpl5a
embryo development disrupted	rpl5a
erythroid progenitor cell decreased amount	rpl5a
fourth ventricle morphology	rpl5a
head decreased size	rpl5a
hematopoietic stem cell decreased amount	rpl5a
hindbrain morphology	rpl5a
midbrain hindbrain boundary morphology	rpl5a
nucleate erythrocyte decreased amount	rpl5a
nucleate erythrocyte part_of heart decreased amount	rpl5a
optic tectum morphology	rpl5a
post-vent region curved ventral	rpl5a
post-vent region morphology	rpl5a
primitive hemopoiesis disrupted	rpl5a
whole organism decreased amount	rpl5a
whole organism increased amount	rpl5a
	gnb5a
nerve part_of peripheral nervous system neoplastic	rps28
whole organism decreased size	rps28
	cdh28
	tacr3a
detection of light stimulus involved in visual perception decreased process quality	grm6b
retina decreased functionality	grm6b
cilium part_of Kupffer's vesicle movement quality	atp1a2a
determination of heart left/right asymmetry disrupted	atp1a2a
determination of left/right symmetry disrupted	atp1a2a
digestive tract development disrupted	atp1a2a
embryonic heart tube development disrupted	atp1a2a
gut mislocalised	atp1a2a
heart contraction decreased rate	atp1a2a
heart looping disrupted	atp1a2a
heart mislocalised	atp1a2a
liver development disrupted	atp1a2a
liver mislocalised	atp1a2a
mechanosensory behavior process quality	atp1a2a
membrane depolarization process quality	atp1a2a
pericardium edematous	atp1a2a
post-vent region curved dorsal	atp1a2a
regulation of resting membrane potential disrupted	atp1a2a
somite morphology	atp1a2a
thigmotaxis disrupted	atp1a2a
atrioventricular valve decreased functionality	nf1b
blood circulation disrupted	nf1b
memory decreased process quality	nf1b
pericardium edematous	nf1b
	aimp1a
aggressive behavior decreased occurrence	dnmt3ab
aggressive behavior increased occurrence	dnmt3ab
exploration behavior occurs_in whole organism decreased occurrence	dnmt3ab
noradrenaline part_of whole organism increased amount	dnmt3ab
reactive oxygen species part_of whole organism increased amount	dnmt3ab
short-term memory decreased duration	dnmt3ab
social behavior occurrence	dnmt3ab
swimming occurs_in whole organism increased linear velocity	dnmt3ab
swimming occurs_in whole organism increased rate	dnmt3ab
whole organism angular velocity	dnmt3ab
whole organism increased distance	dnmt3ab
	matn3a
	rpl5b
	ddx59
eye decreased size	mfrp
optokinetic behavior decreased occurrence	mfrp
retina decreased size	mfrp
retinal neural layer folded	mfrp
retinal pigmented epithelium absent	mfrp
retinal pigmented epithelium folded	mfrp
transverse plane part_of eye decreased length	mfrp
	ddr2b
	proca
	terb1
Collagen part_of atrium increased amount	tnnt2a
Fibrin part_of atrium increased amount	tnnt2a
Fibrin part_of atrium increased distribution	tnnt2a
Notch signaling involved in heart development decreased occurrence	tnnt2a
Notch signaling pathway occurs_in cardiac muscle cell decreased process quality	tnnt2a
Notch signaling pathway occurs_in heart decreased process quality	tnnt2a
adrenal gland development lacking processual parts	tnnt2a
adrenal gland development process quality	tnnt2a
anatomical region part_of dorsal aorta absent	tnnt2a
anatomical system quality	tnnt2a
angiogenic sprout part_of caudal vein plexus increased amount	tnnt2a
angiogenic sprout part_of central artery increased amount	tnnt2a
animal organ morphogenesis occurs_in interrenal gland process quality	tnnt2a
anterior cardinal vein unlumenized	tnnt2a
anterior side part_of trunk increased accumulation	tnnt2a
apoptotic process occurs_in endothelial cell increased occurrence	tnnt2a
artery morphogenesis delayed	tnnt2a
atrioventricular canal decreased amount	tnnt2a
atrioventricular valve absent	tnnt2a
atrium dilated	tnnt2a
atrium distended	tnnt2a
atrium hyperplastic	tnnt2a
atrium increased amount	tnnt2a
atrium increased distribution	tnnt2a
atrium increased size	tnnt2a
basal side part_of cardiac muscle cell absent	tnnt2a
basibranchial condensed	tnnt2a
basilar artery decreased diameter	tnnt2a
blood circulation absent	tnnt2a
blood circulation arrested	tnnt2a
blood circulation decreased occurrence	tnnt2a
blood circulation decreased process quality	tnnt2a
blood circulation decreased rate	tnnt2a
blood circulation disrupted	tnnt2a
blood vasculature part_of midbrain has fewer parts of type	tnnt2a
blood vasculature part_of midbrain morphology	tnnt2a
blood vessel endothelial cell migration occurs_in aortic arch 1 process quality	tnnt2a
blood vessel endothelial cell migration occurs_in caudal division of the internal carotid artery process quality	tnnt2a
blood vessel endothelial cell migration occurs_in internal carotid artery process quality	tnnt2a
blood vessel endothelial cell part_of common cardinal vein decreased amount	tnnt2a
blood vessel lumenization disrupted	tnnt2a
blood vessel lumenization occurs_in intersegmental vessel process quality	tnnt2a
blood vessel lumenization occurs_in trunk vasculature decreased process quality	tnnt2a
blood vessel lumenization process quality	tnnt2a
blood vessel morphogenesis decreased process quality	tnnt2a
blood vessel morphogenesis occurs_in subintestinal vein disrupted	tnnt2a
blood vessel remodeling disrupted	tnnt2a
blood vessel collapsed	tnnt2a
blood accumulation	tnnt2a
blood flow rate	tnnt2a
blood increased accumulation	tnnt2a
brain vasculature hemorrhagic	tnnt2a
brain decreased size	tnnt2a
brain quality	tnnt2a
bulbus arteriosus absent	tnnt2a
bulbus arteriosus decreased diameter	tnnt2a
bulbus arteriosus lacks all parts of type	tnnt2a
calcium-mediated signaling disrupted	tnnt2a
cardiac conduction system mislocalised	tnnt2a
cardiac muscle cell absent	tnnt2a
cardiac muscle cell decreased area	tnnt2a
cardiac muscle cell electric potential	tnnt2a
cardiac muscle cell increased amount	tnnt2a
cardiac muscle cell mislocalised	tnnt2a
cardiac muscle contraction occurs_in atrium arrested	tnnt2a
cardiac muscle contraction occurs_in cardiac ventricle arrested	tnnt2a
cardiac ventricle decreased amount	tnnt2a
cardiac ventricle decreased diameter	tnnt2a
cardiac ventricle decreased functionality	tnnt2a
cardiac ventricle decreased size	tnnt2a
cardiac ventricle distended	tnnt2a
caudal vein plexus decreased distribution	tnnt2a
caudal vein plexus decreased size	tnnt2a
caudal vein plexus fused with	tnnt2a
caudal vein plexus malformed	tnnt2a
caudal vein plexus morphology	tnnt2a
cell migration involved in heart development decreased occurrence	tnnt2a
cell migration involved in heart development occurs_in aortic arch 1 decreased occurrence	tnnt2a
cell projection part_of cardiac muscle cell transient	tnnt2a
central artery decreased diameter	tnnt2a
central artery physical object quality	tnnt2a
ceratobranchial cartilage orientation	tnnt2a
ceratohyal cartilage orientation	tnnt2a
chromaffin cell mislocalised	tnnt2a
cranial vasculature unlumenized	tnnt2a
distal tubule development arrested	tnnt2a
dorsal aorta dilated	tnnt2a
dorsal aorta structure	tnnt2a
dorsal aorta unlumenized	tnnt2a
endocardial cushion part_of bulbus arteriosus spatial pattern	tnnt2a
endocardium hypotrophic	tnnt2a
epithelial to mesenchymal transition occurs_in interrenal gland decreased occurrence	tnnt2a
fourth ventricle decreased diameter	tnnt2a
heart contraction absent	tnnt2a
heart contraction absent process	tnnt2a
heart contraction arrested	tnnt2a
heart contraction decreased frequency	tnnt2a
heart contraction decreased occurrence	tnnt2a
heart contraction decreased process quality	tnnt2a
heart contraction decreased rate	tnnt2a
heart looping disrupted	tnnt2a
heart absent	tnnt2a
heart decreased amount	tnnt2a
heart decreased size	tnnt2a
heart increased amount	tnnt2a
heart increased size	tnnt2a
heart morphology	tnnt2a
heart non-contractile	tnnt2a
heart non-functional	tnnt2a
heart protruding	tnnt2a
heart quality	tnnt2a
hematopoietic multipotent progenitor cell decreased amount	tnnt2a
hematopoietic multipotent progenitor cell part_of thymus decreased amount	tnnt2a
hematopoietic multipotent progenitor cell part_of trunk decreased amount	tnnt2a
hematopoietic stem cell decreased amount	tnnt2a
hematopoietic stem cell part_of ventral wall of dorsal aorta decreased amount	tnnt2a
hematopoietic system decreased functionality	tnnt2a
hepatic sinusoid aplastic	tnnt2a
hormone activity decreased occurrence	tnnt2a
interrenal  angiogenic sprout mislocalised laterally	tnnt2a
interrenal gland position	tnnt2a
interrenal primordium position	tnnt2a
intersegmental vessel collapsed	tnnt2a
intersegmental vessel decreased size	tnnt2a
intersegmental vessel morphology	tnnt2a
intersegmental vessel structure	tnnt2a
intersegmental vessel structure cavities	tnnt2a
intersegmental vessel unlumenized	tnnt2a
intracellular calcium ion homeostasis occurs_in heart process quality	tnnt2a
lateral dorsal aorta absent	tnnt2a
lateral dorsal aorta morphology	tnnt2a
lateral margin part_of atrium increased distribution	tnnt2a
lateral margin part_of cardiac ventricle increased distribution	tnnt2a
liver decreased size	tnnt2a
microglial cell migration occurs_in optic tectum process quality	tnnt2a
microglial cell part_of optic tectum decreased amount	tnnt2a
muscle contraction occurs_in heart arrested	tnnt2a
myocardium part_of atrium increased thickness	tnnt2a
nitric oxide biosynthetic process disrupted	tnnt2a
nucleate erythrocyte development disrupted	tnnt2a
oocyte development occurs_in female organism decreased process quality	tnnt2a
optic tectum decreased width	tnnt2a
palatoquadrate arch decreased length	tnnt2a
pericardium edematous	tnnt2a
post-vent vasculature morphology	tnnt2a
posterior cardinal vein unlumenized	tnnt2a
pronephric glomerular capillary increased size	tnnt2a
pronephric glomerulus morphogenesis process quality	tnnt2a
pronephric glomerulus disorganized	tnnt2a
pronephric glomerulus hypoplastic	tnnt2a
pronephric glomerulus lacks all parts of type	tnnt2a
pronephric glomerulus morphology	tnnt2a
pronephric glomerulus separated from	tnnt2a
pronephric glomerulus unfused from	tnnt2a
pronephric podocyte spatial pattern	tnnt2a
pronephros development process quality	tnnt2a
proximal convoluted tubule development arrested	tnnt2a
regulation of cardiac muscle contraction by calcium ion signaling disrupted	tnnt2a
regulation of cardiac muscle contraction disrupted	tnnt2a
right side part_of pronephric glomerulus unfused from BSPO:0000000	tnnt2a
sarcomere part_of cardiac muscle cell disorganized	tnnt2a
