Approved symbol	Mouse genome database ID
A1BG	MGI:2152878
A1BG-AS1	
A1CF	MGI:1917115
A1S9T	
A2M	MGI:2449119
A2M-AS1	
A2ML1	
A2ML1-AS1	
A2ML1-AS2	
A2MP1	
A2MR	
A2MRAP	
A3GALT2	MGI:2685279
A4GALT	MGI:3512453
A4GNT	MGI:2143261
A12M1	
A12M2	
A12M3	
A12M4	
AA	
AAAS	MGI:2443767
AABT	
AAC1	
AAC2	
AACS	MGI:1926144
AACSP1	
AACT	
AADAC	MGI:1915008
AADACL2	MGI:3646333
AADACL2-AS1	
AADACL3	MGI:2685281
AADACL4	
AADACP1	
AADAT	MGI:1345167
AAGAB	MGI:1914189
AAK1	MGI:1098687
AAMDC	MGI:1913523
AAMP	MGI:107809
AANAT	MGI:1328365
AAR2	MGI:1915545
AARD	MGI:2181621
AARS1	MGI:2384560
AARS1P1	
AARS2	MGI:2681839
AARSD1	MGI:1916934
AARSD1P1	
AASDH	MGI:2442517
AASDHPPT	MGI:1914868
AASS	MGI:1353573
AATBC	
AATF	MGI:1929608
AATK	MGI:1197518
AAVS1	
ABALON	
ABAT	MGI:2443582
ABC1	
ABC2	
ABC3	
ABC7	
ABC50	
ABCA1	MGI:99607
ABCA2	MGI:99606
ABCA3	MGI:1351617
ABCA3P1	
ABCA4	MGI:109424
ABCA5	MGI:2386607
ABCA6	MGI:1923434
ABCA7	MGI:1351646
ABCA8	MGI:1351668, MGI:2386846
ABCA9	MGI:2386796
ABCA9-AS1	
ABCA10	
ABCA11P	
ABCA12	MGI:2676312
ABCA13	MGI:2388707
ABCA15P	MGI:2388709
ABCA17P	MGI:3625331
ABCB1	MGI:97570
ABCB2	
ABCB3	
ABCB4	MGI:97569
ABCB5	MGI:1924956
ABCB6	MGI:1921354
ABCB7	MGI:109533
ABCB8	MGI:1351667
ABCB9	MGI:1861729
ABCB10	MGI:1860508
ABCB10P1	
ABCB10P2	
ABCB10P3	
ABCB10P4	
ABCB11	MGI:1351619
ABCC1	MGI:102676
ABCC2	MGI:1352447
ABCC3	MGI:1923658
ABCC4	MGI:2443111
ABCC5	MGI:1351644
ABCC5-AS1	
ABCC6	MGI:1351634
ABCC6P1	
ABCC6P2	
ABCC7	
ABCC8	MGI:1352629
ABCC9	MGI:1352630
ABCC10	MGI:2386976
ABCC11	
ABCC12	MGI:2441679
ABCC13	
ABCD1	MGI:1349215
ABCD1P1	
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	MGI:1349467
ABCD3	MGI:1349216
ABCD4	MGI:1349217
ABCE1	MGI:1195458
ABCF1	MGI:1351658
ABCF1-DT	
ABCF2	MGI:1351657
ABCF2-H2BK1	
ABCF2P1	
ABCF2P2	
ABCF3	MGI:1351656
ABCG1	MGI:107704
ABCG2	MGI:1347061
ABCG4	MGI:1890594
ABCG5	MGI:1351659
ABCG8	MGI:1914720
ABCR	
ABHD1	MGI:1931013
ABHD2	MGI:1914344
ABHD3	MGI:2147183
ABHD4	MGI:1915938
ABHD5	MGI:1914719
ABHD6	MGI:1913332
ABHD8	MGI:1918946
ABHD10	MGI:2442422
ABHD11	MGI:1916008
ABHD11-AS2	
ABHD12	MGI:1923442
ABHD12B	MGI:2685650
ABHD13	MGI:1916154
ABHD14A	MGI:1915894
ABHD14A-ACY1	
ABHD14B	MGI:1923741
ABHD15	MGI:1914727
ABHD15-AS1	
ABHD16A	MGI:99476
ABHD16B	MGI:3607711
ABHD17A	MGI:106388
ABHD17AP1	
ABHD17AP2	
ABHD17AP3	
ABHD17AP4	
ABHD17AP5	
ABHD17AP6	
ABHD17AP7	
ABHD17AP8	
ABHD17AP9	
ABHD17B	MGI:1917816
ABHD17C	MGI:1917428
ABHD18	MGI:1915468
ABI1	MGI:104913
ABI1P1	
ABI2	MGI:106913
ABI3	MGI:1913860
ABI3BP	MGI:2444583
ABITRAM	MGI:2677850
ABITRAMP1	
ABL1	MGI:87859
ABL2	MGI:87860
ABLIM1	MGI:1194500
ABLIM2	MGI:2385758
ABLIM3	MGI:2442582
ABO	MGI:2135738
ABR	MGI:107771
ABR-AS1	
ABRA	MGI:2444891
ABRACL	MGI:1920362
ABRAXAS1	MGI:1917931
ABRAXAS1P1	
ABRAXAS1P2	
ABRAXAS2	MGI:1926116
ABT1	MGI:1353636
ABT1P1	
ABTB1	MGI:1933148
ABTB2	MGI:2139365
ABTB3	MGI:1921257
ACAA1	MGI:2148491, MGI:3605455
ACAA2	MGI:1098623
ACAA2P1	
ACACA	MGI:108451
ACACB	MGI:2140940
ACAD	
ACAD8	MGI:1914198
ACAD9	MGI:1914272
ACAD9-DT	
ACAD10	MGI:1919235
ACAD11	MGI:2143169
ACADL	MGI:87866
ACADM	MGI:87867
ACADS	MGI:87868
ACADSB	MGI:1914135
ACADVL	MGI:895149
ACAN	MGI:99602
ACAP1	MGI:2388270
ACAP2	MGI:1925868
ACAP2-IT1	
ACAP3	MGI:2153589
ACAT1	MGI:87870
ACAT2	MGI:87871, MGI:109182
ACBD3	MGI:2181074
ACBD3-AS1	
ACBD4	MGI:1914381
ACBD5	MGI:1921409
ACBD6	MGI:1919732
ACBD7	MGI:1925495
ACBP	
ACC	
ACCN	
ACCPN	
ACCS	MGI:1919717
ACCSL	MGI:3584519
ACCSLP1	
ACD	MGI:87873
ACE	MGI:87874
ACE2	MGI:1917258
ACE2-DT	
ACE3P	MGI:3644400
ACER1	MGI:2181962
ACER2	MGI:1920932
ACER2P1	
ACER3	MGI:1913440
ACH	
ACHAP	
ACHE	MGI:87876
ACHM1	
ACHM2	
ACHM3	
ACHRD	
ACHRG	
ACIN1	MGI:1891824
ACKR1	MGI:1097689
ACKR2	MGI:1891697
ACKR3	MGI:109562
ACKR4	MGI:2181676
ACKR4P1	
ACLS	
ACLY	MGI:103251
ACMG	
ACMSD	MGI:2386323
ACNATP	
ACO1	MGI:87879
ACO2	MGI:87880
ACO2P1	
ACO2P2	
ACOD1	MGI:103206
ACOT1	MGI:1349396
ACOT2	MGI:2159605
ACOT4	MGI:2159621
ACOT6	MGI:1921287
ACOT7	MGI:1917275
ACOT8	MGI:2158201
ACOT9	MGI:1928939
ACOT11	MGI:1913736
ACOT12	MGI:1921406
ACOT13	MGI:1914084
ACOX1	MGI:1330812
ACOX2	MGI:1934852
ACOX3	MGI:1933156
ACOXL	MGI:1921371
ACOXL-AS1	
ACP1	MGI:87881
ACP2	MGI:87882
ACP3	MGI:1928480
ACP4	MGI:3644563
ACP5	MGI:87883
ACP6	MGI:1931010
ACP7	MGI:2142121
